LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error
2019-03-25 19:21:03,1900-01-00 00:00:00,,CC:40:D0:16:A7:D2,-64,,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-62,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-62,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-62,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-68,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-66,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-62,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-62,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:03,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:04,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:04,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:04,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:04,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
2019-03-25 19:21:04,1900-01-00 00:00:00,NETGEAR26,CC:40:D0:16:A7:D2,-64,WPA2,0.000000,0.000000,0.000,0.000
